dividend_cocode|company_name|div_announcement_date|div_rate|div_per_share
18102|APOLLO HOSPITALS ENTERPRISE LTD.|16-03-2007|30.0000|3.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|26-06-2007|20.0000|2.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|24-06-2008|60.0000|6.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|29-06-2009|65.0000|6.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|28-05-2010|70.0000|7.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|24-05-2011|75.0000|3.7500
18102|APOLLO HOSPITALS ENTERPRISE LTD.|29-05-2012|80.0000|4.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|20-05-2013|110.0000|5.5000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|28-05-2014|115.0000|5.7500
18102|APOLLO HOSPITALS ENTERPRISE LTD.|28-05-2015|115.0000|5.7500
18102|APOLLO HOSPITALS ENTERPRISE LTD.|15-03-2016|120.0000|6.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|25-05-2016|0.0000|0.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|30-05-2017|120.0000|6.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|30-05-2018|100.0000|5.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|30-05-2019|120.0000|6.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|13-02-2020|65.0000|3.2500
18102|APOLLO HOSPITALS ENTERPRISE LTD.|25-06-2020|55.0000|2.7500
18102|APOLLO HOSPITALS ENTERPRISE LTD.|23-06-2021|60.0000|3.0000
18102|APOLLO HOSPITALS ENTERPRISE LTD.|25-05-2022|235.0000|11.7500
22859|ASIAN PAINTS LTD.|31-03-1989|42.0000|NA
22859|ASIAN PAINTS LTD.|10-08-1990|45.0000|4.5000
22859|ASIAN PAINTS LTD.|19-07-1991|45.0000|4.5000
22859|ASIAN PAINTS LTD.|31-07-1992|50.0000|5.0000
22859|ASIAN PAINTS LTD.|30-07-1993|33.0000|3.3000
22859|ASIAN PAINTS LTD.|15-07-1994|50.0000|5.0000
22859|ASIAN PAINTS LTD.|26-07-1995|65.0000|6.5000
22859|ASIAN PAINTS LTD.|01-06-1996|65.0000|6.5000
22859|ASIAN PAINTS LTD.|17-06-1997|75.0000|7.5000
22859|ASIAN PAINTS LTD.|22-10-1997|35.0000|3.5000
22859|ASIAN PAINTS LTD.|17-06-1998|40.0000|4.0000
22859|ASIAN PAINTS LTD.|28-10-1998|35.0000|3.5000
22859|ASIAN PAINTS LTD.|01-06-1999|45.0000|4.5000
22859|ASIAN PAINTS LTD.|25-10-1999|40.0000|4.0000
22859|ASIAN PAINTS LTD.|22-03-2000|60.0000|6.0000
22859|ASIAN PAINTS LTD.|01-04-2000|0.0000|0.0000
22859|ASIAN PAINTS LTD.|23-10-2000|30.0000|3.0000
22859|ASIAN PAINTS LTD.|06-06-2001|40.0000|4.0000
22859|ASIAN PAINTS LTD.|30-10-2001|35.0000|3.5000
22859|ASIAN PAINTS LTD.|30-05-2002|55.0000|5.5000
22859|ASIAN PAINTS LTD.|16-10-2002|45.0000|4.5000
22859|ASIAN PAINTS LTD.|28-05-2003|65.0000|6.5000
22859|ASIAN PAINTS LTD.|30-10-2003|35.0000|3.5000
22859|ASIAN PAINTS LTD.|11-05-2004|50.0000|5.0000
22859|ASIAN PAINTS LTD.|27-10-2004|40.0000|4.0000
22859|ASIAN PAINTS LTD.|11-05-2005|55.0000|5.5000
22859|ASIAN PAINTS LTD.|26-10-2005|45.0000|4.5000
22859|ASIAN PAINTS LTD.|09-05-2006|55.0000|5.5000
22859|ASIAN PAINTS LTD.|10-05-2006|25.0000|2.5000
22859|ASIAN PAINTS LTD.|30-10-2006|55.0000|5.5000
22859|ASIAN PAINTS LTD.|13-03-2007|65.0000|6.5000
22859|ASIAN PAINTS LTD.|10-05-2007|10.0000|1.0000
22859|ASIAN PAINTS LTD.|19-10-2007|65.0000|6.5000
22859|ASIAN PAINTS LTD.|09-05-2008|105.0000|10.5000
22859|ASIAN PAINTS LTD.|24-10-2008|65.0000|6.5000
22859|ASIAN PAINTS LTD.|12-05-2009|110.0000|11.0000
22859|ASIAN PAINTS LTD.|22-10-2009|85.0000|8.5000
22859|ASIAN PAINTS LTD.|28-05-2010|185.0000|18.5000
22859|ASIAN PAINTS LTD.|27-10-2010|85.0000|8.5000
22859|ASIAN PAINTS LTD.|10-05-2011|235.0000|23.5000
22859|ASIAN PAINTS LTD.|21-10-2011|95.0000|9.5000
22859|ASIAN PAINTS LTD.|08-05-2012|305.0000|30.5000
22859|ASIAN PAINTS LTD.|25-10-2012|95.0000|9.5000
22859|ASIAN PAINTS LTD.|09-05-2013|365.0000|36.5000
22859|ASIAN PAINTS LTD.|21-10-2013|110.0000|1.1000
22859|ASIAN PAINTS LTD.|14-05-2014|420.0000|4.2000
22859|ASIAN PAINTS LTD.|17-09-2014|180.0000|1.8000
22859|ASIAN PAINTS LTD.|18-05-2015|430.0000|4.3000
22859|ASIAN PAINTS LTD.|23-10-2015|220.0000|2.2000
22859|ASIAN PAINTS LTD.|11-05-2016|530.0000|5.3000
22859|ASIAN PAINTS LTD.|25-10-2016|265.0000|2.6500
22859|ASIAN PAINTS LTD.|11-05-2017|200.0000|2.0000
22859|ASIAN PAINTS LTD.|12-05-2017|565.0000|5.6500
22859|ASIAN PAINTS LTD.|24-10-2017|265.0000|2.6500
22859|ASIAN PAINTS LTD.|10-05-2018|605.0000|6.0500
22859|ASIAN PAINTS LTD.|22-10-2018|285.0000|2.8500
22859|ASIAN PAINTS LTD.|09-05-2019|765.0000|7.6500
22859|ASIAN PAINTS LTD.|22-10-2019|335.0000|3.3500
22859|ASIAN PAINTS LTD.|25-02-2020|715.0000|7.1500
22859|ASIAN PAINTS LTD.|23-06-2020|150.0000|1.5000
22859|ASIAN PAINTS LTD.|22-10-2020|335.0000|3.3500
22859|ASIAN PAINTS LTD.|12-05-2021|1450.0000|14.5000
22859|ASIAN PAINTS LTD.|21-10-2021|365.0000|3.6500
22859|ASIAN PAINTS LTD.|10-05-2022|1550.0000|15.5000
28897|BAJAJ FINANCE LTD.|30-04-1988|0.0000|NA
28897|BAJAJ FINANCE LTD.|16-05-1989|0.0000|0.0000
28897|BAJAJ FINANCE LTD.|31-03-1990|12.0000|1.2000
28897|BAJAJ FINANCE LTD.|10-05-1991|12.0000|1.2000
28897|BAJAJ FINANCE LTD.|31-03-1993|12.0000|1.2000
28897|BAJAJ FINANCE LTD.|31-03-1994|16.0000|1.6000
28897|BAJAJ FINANCE LTD.|28-08-1995|20.0000|2.0000
28897|BAJAJ FINANCE LTD.|28-05-1996|20.0000|2.0000
28897|BAJAJ FINANCE LTD.|16-05-1997|20.0000|2.0000
28897|BAJAJ FINANCE LTD.|11-05-1998|22.0000|2.2000
28897|BAJAJ FINANCE LTD.|11-05-1999|25.0000|2.5000
28897|BAJAJ FINANCE LTD.|15-03-2000|30.0000|3.0000
28897|BAJAJ FINANCE LTD.|25-03-2000|0.0000|0.0000
28897|BAJAJ FINANCE LTD.|05-06-2001|30.0000|3.0000
28897|BAJAJ FINANCE LTD.|11-05-2002|45.0000|4.5000
28897|BAJAJ FINANCE LTD.|14-05-2003|45.0000|4.5000
28897|BAJAJ FINANCE LTD.|18-05-2004|60.0000|6.0000
28897|BAJAJ FINANCE LTD.|10-05-2005|75.0000|7.5000
28897|BAJAJ FINANCE LTD.|18-05-2006|40.0000|4.0000
28897|BAJAJ FINANCE LTD.|16-05-2007|30.0000|3.0000
28897|BAJAJ FINANCE LTD.|21-05-2008|10.0000|1.0000
28897|BAJAJ FINANCE LTD.|20-05-2009|20.0000|2.0000
28897|BAJAJ FINANCE LTD.|11-05-2010|60.0000|6.0000
28897|BAJAJ FINANCE LTD.|17-05-2011|100.0000|10.0000
28897|BAJAJ FINANCE LTD.|16-05-2012|120.0000|12.0000
28897|BAJAJ FINANCE LTD.|15-05-2013|150.0000|15.0000
28897|BAJAJ FINANCE LTD.|14-05-2014|160.0000|16.0000
28897|BAJAJ FINANCE LTD.|20-05-2015|180.0000|18.0000
28897|BAJAJ FINANCE LTD.|09-03-2016|180.0000|18.0000
28897|BAJAJ FINANCE LTD.|24-05-2016|70.0000|7.0000
28897|BAJAJ FINANCE LTD.|17-05-2017|180.0000|3.6000
28897|BAJAJ FINANCE LTD.|17-05-2018|200.0000|4.0000
28897|BAJAJ FINANCE LTD.|16-05-2019|300.0000|6.0000
28897|BAJAJ FINANCE LTD.|21-02-2020|500.0000|10.0000
28897|BAJAJ FINANCE LTD.|27-04-2021|500.0000|10.0000
28897|BAJAJ FINANCE LTD.|26-04-2022|1000.0000|20.0000
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-1989|20.0000|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-1990|20.0000|NA
33873|BHARAT PETROLEUM CORPN. LTD.|31-03-1991|20.0000|NA
33873|BHARAT PETROLEUM CORPN. LTD.|06-10-1992|30.0000|3.0000
33873|BHARAT PETROLEUM CORPN. LTD.|03-09-1993|33.0000|3.3000
33873|BHARAT PETROLEUM CORPN. LTD.|29-08-1994|33.0000|3.3000
33873|BHARAT PETROLEUM CORPN. LTD.|28-08-1995|33.0000|3.3000
33873|BHARAT PETROLEUM CORPN. LTD.|18-05-1996|33.0000|3.3000
33873|BHARAT PETROLEUM CORPN. LTD.|28-05-1997|33.0000|3.3000
33873|BHARAT PETROLEUM CORPN. LTD.|25-05-1998|50.0000|5.0000
33873|BHARAT PETROLEUM CORPN. LTD.|27-05-1999|125.0000|12.5000
33873|BHARAT PETROLEUM CORPN. LTD.|30-05-2000|125.0000|12.5000
33873|BHARAT PETROLEUM CORPN. LTD.|01-01-2001|40.0000|4.0000
33873|BHARAT PETROLEUM CORPN. LTD.|06-06-2001|35.0000|3.5000
33873|BHARAT PETROLEUM CORPN. LTD.|26-06-2002|110.0000|11.0000
33873|BHARAT PETROLEUM CORPN. LTD.|24-01-2003|20.0000|2.0000
33873|BHARAT PETROLEUM CORPN. LTD.|27-05-2003|130.0000|13.0000
33873|BHARAT PETROLEUM CORPN. LTD.|27-12-2003|60.0000|6.0000
33873|BHARAT PETROLEUM CORPN. LTD.|19-05-2004|115.0000|11.5000
33873|BHARAT PETROLEUM CORPN. LTD.|10-12-2004|50.0000|5.0000
33873|BHARAT PETROLEUM CORPN. LTD.|19-05-2005|75.0000|7.5000
33873|BHARAT PETROLEUM CORPN. LTD.|30-06-2005|0.0000|0.0000
33873|BHARAT PETROLEUM CORPN. LTD.|26-09-2006|25.0000|2.5000
33873|BHARAT PETROLEUM CORPN. LTD.|26-12-2006|60.0000|6.0000
33873|BHARAT PETROLEUM CORPN. LTD.|24-05-2007|100.0000|10.0000
33873|BHARAT PETROLEUM CORPN. LTD.|17-06-2008|40.0000|4.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2009|70.0000|7.0000
33873|BHARAT PETROLEUM CORPN. LTD.|27-05-2010|140.0000|14.0000
33873|BHARAT PETROLEUM CORPN. LTD.|30-05-2011|140.0000|14.0000
33873|BHARAT PETROLEUM CORPN. LTD.|25-05-2012|110.0000|11.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2013|110.0000|11.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2014|170.0000|17.0000
33873|BHARAT PETROLEUM CORPN. LTD.|28-05-2015|225.0000|22.5000
33873|BHARAT PETROLEUM CORPN. LTD.|20-01-2016|125.0000|12.5000
33873|BHARAT PETROLEUM CORPN. LTD.|12-02-2016|35.0000|3.5000
33873|BHARAT PETROLEUM CORPN. LTD.|26-05-2016|150.0000|15.0000
33873|BHARAT PETROLEUM CORPN. LTD.|09-02-2017|155.0000|15.5000
33873|BHARAT PETROLEUM CORPN. LTD.|10-02-2017|40.0000|4.0000
33873|BHARAT PETROLEUM CORPN. LTD.|23-03-2017|120.0000|12.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2017|10.0000|1.0000
33873|BHARAT PETROLEUM CORPN. LTD.|09-02-2018|140.0000|14.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2018|70.0000|7.0000
33873|BHARAT PETROLEUM CORPN. LTD.|08-02-2019|110.0000|11.0000
33873|BHARAT PETROLEUM CORPN. LTD.|20-05-2019|80.0000|8.0000
33873|BHARAT PETROLEUM CORPN. LTD.|12-03-2020|165.0000|16.5000
33873|BHARAT PETROLEUM CORPN. LTD.|03-06-2020|0.0000|0.0000
33873|BHARAT PETROLEUM CORPN. LTD.|08-02-2021|160.0000|16.0000
33873|BHARAT PETROLEUM CORPN. LTD.|16-03-2021|50.0000|5.0000
33873|BHARAT PETROLEUM CORPN. LTD.|26-05-2021|230.0000|23.0000
33873|BHARAT PETROLEUM CORPN. LTD.|27-05-2021|350.0000|35.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-10-2021|50.0000|5.0000
33873|BHARAT PETROLEUM CORPN. LTD.|31-01-2022|50.0000|5.0000
33873|BHARAT PETROLEUM CORPN. LTD.|25-05-2022|60.0000|6.0000
34162|BHARTI AIRTEL LTD.|31-03-1996|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|31-03-1997|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|31-03-1998|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|31-03-1999|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|31-03-2000|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|31-03-2001|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|17-07-2002|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|09-09-2003|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|26-07-2004|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|17-08-2005|0.0000|0.0000
34162|BHARTI AIRTEL LTD.|29-04-2009|20.0000|1.0000
34162|BHARTI AIRTEL LTD.|28-04-2010|20.0000|1.0000
34162|BHARTI AIRTEL LTD.|05-05-2011|20.0000|1.0000
34162|BHARTI AIRTEL LTD.|02-05-2012|20.0000|1.0000
34162|BHARTI AIRTEL LTD.|02-05-2013|20.0000|1.0000
34162|BHARTI AIRTEL LTD.|29-04-2014|36.0000|1.8000
34162|BHARTI AIRTEL LTD.|13-08-2014|32.6000|1.6300
34162|BHARTI AIRTEL LTD.|28-04-2015|44.4000|2.2200
34162|BHARTI AIRTEL LTD.|27-04-2016|27.2000|1.3600
34162|BHARTI AIRTEL LTD.|09-05-2017|20.0000|1.0000
34162|BHARTI AIRTEL LTD.|18-01-2018|56.8000|2.8400
34162|BHARTI AIRTEL LTD.|24-04-2018|50.0000|2.5000
34162|BHARTI AIRTEL LTD.|25-10-2018|50.0000|2.5000
34162|BHARTI AIRTEL LTD.|18-05-2020|40.0000|2.0000
34162|BHARTI AIRTEL LTD.|17-05-2022|60.0000|3.0000
38924|BRITANNIA INDUSTRIES LTD.|31-03-1989|32.0000|NA
38924|BRITANNIA INDUSTRIES LTD.|05-01-1990|9.0000|NA
38924|BRITANNIA INDUSTRIES LTD.|10-08-1990|15.0000|1.5000
38924|BRITANNIA INDUSTRIES LTD.|31-01-1991|12.0000|1.2000
38924|BRITANNIA INDUSTRIES LTD.|19-08-1991|17.0000|1.7000
38924|BRITANNIA INDUSTRIES LTD.|17-01-1992|22.0000|2.2000
38924|BRITANNIA INDUSTRIES LTD.|31-07-1992|10.0000|1.0000
38924|BRITANNIA INDUSTRIES LTD.|25-01-1993|22.0000|2.2000
38924|BRITANNIA INDUSTRIES LTD.|13-09-1993|10.0000|1.0000
38924|BRITANNIA INDUSTRIES LTD.|29-07-1994|35.0000|3.5000
38924|BRITANNIA INDUSTRIES LTD.|31-03-1995|40.0000|4.0000
38924|BRITANNIA INDUSTRIES LTD.|05-06-1996|40.0000|4.0000
38924|BRITANNIA INDUSTRIES LTD.|07-06-1997|40.0000|4.0000
38924|BRITANNIA INDUSTRIES LTD.|11-06-1998|50.0000|5.0000
38924|BRITANNIA INDUSTRIES LTD.|27-05-1999|55.0000|5.5000
38924|BRITANNIA INDUSTRIES LTD.|14-03-2000|45.0000|4.5000
38924|BRITANNIA INDUSTRIES LTD.|31-03-2000|0.0000|0.0000
38924|BRITANNIA INDUSTRIES LTD.|02-06-2001|55.0000|5.5000
38924|BRITANNIA INDUSTRIES LTD.|05-06-2002|75.0000|7.5000
38924|BRITANNIA INDUSTRIES LTD.|16-06-2003|100.0000|10.0000
38924|BRITANNIA INDUSTRIES LTD.|29-06-2004|110.0000|11.0000
38924|BRITANNIA INDUSTRIES LTD.|26-05-2005|140.0000|14.0000
38924|BRITANNIA INDUSTRIES LTD.|31-05-2006|150.0000|15.0000
38924|BRITANNIA INDUSTRIES LTD.|29-05-2007|150.0000|15.0000
38924|BRITANNIA INDUSTRIES LTD.|29-05-2008|180.0000|18.0000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2009|400.0000|40.0000
38924|BRITANNIA INDUSTRIES LTD.|28-05-2009|0.0000|0.0000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2010|250.0000|25.0000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2011|325.0000|6.5000
38924|BRITANNIA INDUSTRIES LTD.|28-05-2012|425.0000|8.5000
38924|BRITANNIA INDUSTRIES LTD.|24-05-2013|425.0000|8.5000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2014|600.0000|12.0000
38924|BRITANNIA INDUSTRIES LTD.|21-05-2015|800.0000|16.0000
38924|BRITANNIA INDUSTRIES LTD.|20-05-2016|1000.0000|20.0000
38924|BRITANNIA INDUSTRIES LTD.|25-05-2017|1100.0000|22.0000
38924|BRITANNIA INDUSTRIES LTD.|15-05-2018|1250.0000|25.0000
38924|BRITANNIA INDUSTRIES LTD.|01-05-2019|1500.0000|15.0000
38924|BRITANNIA INDUSTRIES LTD.|23-04-2020|3500.0000|35.0000
38924|BRITANNIA INDUSTRIES LTD.|17-08-2020|8300.0000|83.0000
38924|BRITANNIA INDUSTRIES LTD.|02-04-2021|6200.0000|62.0000
38924|BRITANNIA INDUSTRIES LTD.|10-05-2021|1250.0000|12.5000
38924|BRITANNIA INDUSTRIES LTD.|02-05-2022|5650.0000|56.5000
47858|CIPLA LTD.|31-03-1989|30.0000|NA
47858|CIPLA LTD.|03-09-1990|28.0000|28.0000
47858|CIPLA LTD.|23-08-1991|30.0000|30.0000
47858|CIPLA LTD.|23-12-1991|12.0000|12.0000
47858|CIPLA LTD.|21-08-1992|18.0000|18.0000
47858|CIPLA LTD.|08-10-1992|10.0000|10.0000
47858|CIPLA LTD.|27-08-1993|20.0000|20.0000
47858|CIPLA LTD.|29-08-1994|32.0000|3.2000
47858|CIPLA LTD.|28-08-1995|10.0000|1.0000
47858|CIPLA LTD.|27-07-1996|12.5000|1.2500
47858|CIPLA LTD.|24-07-1997|35.0000|3.5000
47858|CIPLA LTD.|01-08-1998|55.0000|5.5000
47858|CIPLA LTD.|15-07-1999|75.0000|7.5000
47858|CIPLA LTD.|23-03-2000|30.0000|3.0000
47858|CIPLA LTD.|31-03-2000|0.0000|0.0000
47858|CIPLA LTD.|26-07-2001|45.0000|4.5000
47858|CIPLA LTD.|24-07-2002|70.0000|7.0000
47858|CIPLA LTD.|28-07-2003|100.0000|10.0000
47858|CIPLA LTD.|26-07-2004|150.0000|3.0000
47858|CIPLA LTD.|29-07-2005|175.0000|3.5000
47858|CIPLA LTD.|21-07-2006|100.0000|2.0000
47858|CIPLA LTD.|20-07-2007|100.0000|2.0000
47858|CIPLA LTD.|18-07-2008|100.0000|2.0000
47858|CIPLA LTD.|15-07-2009|100.0000|2.0000
47858|CIPLA LTD.|15-06-2010|100.0000|2.0000
47858|CIPLA LTD.|25-08-2010|40.0000|0.8000
47858|CIPLA LTD.|29-06-2011|100.0000|2.0000
47858|CIPLA LTD.|07-06-2012|100.0000|2.0000
47858|CIPLA LTD.|29-05-2013|100.0000|2.0000
47858|CIPLA LTD.|29-05-2014|100.0000|2.0000
47858|CIPLA LTD.|29-05-2015|100.0000|2.0000
47858|CIPLA LTD.|24-05-2016|100.0000|2.0000
47858|CIPLA LTD.|25-05-2017|100.0000|2.0000
47858|CIPLA LTD.|22-05-2018|150.0000|3.0000
47858|CIPLA LTD.|22-05-2019|150.0000|3.0000
47858|CIPLA LTD.|12-03-2020|150.0000|3.0000
47858|CIPLA LTD.|13-03-2020|50.0000|1.0000
47858|CIPLA LTD.|14-05-2021|250.0000|5.0000
47858|CIPLA LTD.|10-05-2022|250.0000|5.0000
48799|COAL INDIA LTD.|31-03-1989|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1990|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1991|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1992|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1993|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1994|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1995|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1996|0.0000|0.0000
48799|COAL INDIA LTD.|31-03-1997|0.1000|1.0000
48799|COAL INDIA LTD.|31-03-1998|0.3000|3.0000
48799|COAL INDIA LTD.|31-03-1999|0.4000|4.0000
48799|COAL INDIA LTD.|31-03-2000|0.4000|4.0000
48799|COAL INDIA LTD.|10-08-2001|0.0000|0.0000
48799|COAL INDIA LTD.|26-09-2002|0.0000|0.0000
48799|COAL INDIA LTD.|25-09-2003|0.0000|0.0000
48799|COAL INDIA LTD.|25-09-2004|1.6000|16.0000
48799|COAL INDIA LTD.|30-08-2005|4.3000|43.0000
48799|COAL INDIA LTD.|31-03-2006|20.0000|200.0000
48799|COAL INDIA LTD.|31-03-2007|23.7500|237.5000
48799|COAL INDIA LTD.|31-03-2008|27.0000|270.0000
48799|COAL INDIA LTD.|31-03-2009|27.0000|270.0000
48799|COAL INDIA LTD.|31-03-2010|35.0000|3.5000
48799|COAL INDIA LTD.|14-02-2011|35.0000|3.5000
48799|COAL INDIA LTD.|12-05-2011|4.0000|0.4000
48799|COAL INDIA LTD.|12-03-2012|95.0000|9.5000
48799|COAL INDIA LTD.|18-05-2012|5.0000|0.5000
48799|COAL INDIA LTD.|14-03-2013|97.0000|9.7000
48799|COAL INDIA LTD.|20-05-2013|43.0000|4.3000
48799|COAL INDIA LTD.|14-01-2014|290.0000|29.0000
48799|COAL INDIA LTD.|27-02-2015|207.0000|20.7000
48799|COAL INDIA LTD.|05-03-2016|274.0000|27.4000
48799|COAL INDIA LTD.|06-03-2017|187.5000|18.7500
48799|COAL INDIA LTD.|26-03-2017|11.5000|1.1500
48799|COAL INDIA LTD.|29-05-2017|0.0000|0.0000
48799|COAL INDIA LTD.|10-03-2018|165.0000|16.5000
48799|COAL INDIA LTD.|20-12-2018|72.5000|7.2500
48799|COAL INDIA LTD.|14-03-2019|58.5000|5.8500
48799|COAL INDIA LTD.|12-03-2020|120.0000|12.0000
48799|COAL INDIA LTD.|11-11-2020|75.0000|7.5000
48799|COAL INDIA LTD.|05-03-2021|50.0000|5.0000
48799|COAL INDIA LTD.|14-06-2021|35.0000|3.5000
48799|COAL INDIA LTD.|29-11-2021|90.0000|9.0000
48799|COAL INDIA LTD.|14-02-2022|50.0000|5.0000
48799|COAL INDIA LTD.|25-05-2022|30.0000|3.0000
61957|DIVI'S LABORATORIES LTD.|31-03-1999|18.0000|1.8000
61957|DIVI'S LABORATORIES LTD.|24-06-2000|20.0000|2.0000
61957|DIVI'S LABORATORIES LTD.|31-03-2001|35.0000|3.5000
